Checked,DOI,Donor,Acceptor,Donor SMILES,Acceptor SMILES,Voc,Jsc,FF,PCE,HOMO_A,LUMO_A,Ehl_A,Eg_A,HOMO_D,LUMO_D,Ehl_D,Eg_D
YES,10.1002/aenm.201703291,PBFSF,N2200,CCCCCCC(CCCC)CC1=CC=C(C2=C3SC=CC3=C(C3=CC=C(CC(CCCC)CCCCCC)S3)C3=C2C=C(C2=C(F)C=C(C4=CC5=C(S4)C4=C(C=C(C6=CC(F)=CC7=NSN=C67)S4)[Si]5(CC(CC)CCCC)CC(CC)CCCC)C4=NSN=C24)S3)S1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=CC(C4=CC=C(C5=CC=CS5)S4)=C4C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C(=C43)C=C2)C1=O,0.83,11.95,0.61,6,-5.71,-4.02,1.69,,-5.27,-3.72,1.55,
YES,10.1002/aenm.201703291,PBBSB,N2200,CCCCCCC(CCCC)CC1=CC=C(C2=C3SC=CC3=C(C3=CC=C(CC(CCCC)CCCCCC)S3)C3=C2C=C(C2=CC=C(C4=CC5=C(S4)C4=C(C=C(C6=CC=CC7=NSN=C67)S4)[Si]5(CC(CC)CCCC)CC(CC)CCCC)C4=NSN=C24)S3)S1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=CC(C4=CC=C(C5=CC=CS5)S4)=C4C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C(=C43)C=C2)C1=O,0.73,7.81,0.52,3,-5.71,-4.02,1.69,,-5.19,-3.63,1.56,
YES,10.1002/aenm.201801209,PTB7-Th,IOTIC-2F,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C=C(C5=C(OCC(CC)CCCC)C=C(/C=C6\C(=O)C7=CC=C(F)C=C7C6=C(C#N)C#N)S5)S3)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C=C(C2=C(OCC(CC)CCCC)C=C(/C=C4\C(=O)C5=CC=C(F)C=C5C4=C(C#N)C#N)S2)S3)C=C1,0.817,21.9,0.65,12.1,-5.34,-4.06,1.28,1.31,-5.21,-3.6,1.61,1.58
YES,10.1002/aenm.201901024,PTB7-Th,3TT-CIC,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC4=C3SC(/C=C3\C(=O)C5=CC(Cl)=C(Cl)C=C5C3=C(C#N)C#N)=C4)C3=C2C2=C(S3)C3=C(S2)C2=C(C4=C(C=C(/C=C5\C(=O)C6=CC(Cl)=C(Cl)C=C6C5=C(C#N)C#N)S4)S2)C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1,0.65,26.67,0.69,11.96,-5.24,-3.95,1.29,1.23,-5.21,-3.6,1.61,1.58
YES,10.1002/adma.201706816,PTB7-Th,6TBA,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC4=C3SC(C=C3C(=O)N(CC)C(=S)N(CC)C3=O)=C4)C3=C2C2=C(S3)C3=C(S2)C2=C(C4=C(C=C(C=C5C(=O)N(CC)C(=S)N(CC)C5=O)S4)S2)C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1,0.98,15.2,0.68,10.13,-5.24,-3.78,1.46,,-5.21,-3.6,1.61,1.58
YES,10.1002/aenm.201801209,PTB7-Th,ITOTIC-2F,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(C5=C(OCC(CC)CCCC)C=C(/C=C6\C(=O)C7=CC=C(F)C=C7C6=C(C#N)C#N)S5)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(C2=C(OCC(CC)CCCC)C=C(/C=C4\C(=O)C5=CC=C(F)C=C5C4=C(C#N)C#N)S2)=C3)C=C1,0.785,7,0.61,3.7,-5.22,-4.11,1.11,1.32,-5.21,-3.6,1.61,1.58
YES,10.1002/aenm.202100839,PTB7-Th,O-IDTBCN,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCCCC1(CCCCCCCC)C2=C(C=C3C(=C2)C2=C(C=C(C4=CC=C(C=C(C#N)C#N)C5=NSN=C45)S2)C3(CCCCCCCC)CCCCCCCC)C2=C1C=C(C1=CC=C(C=C(C#N)C#N)C3=NSN=C13)S2,0.74,17.7,0.7,9.1,-5.8,-3.8,2,,-5.21,-3.6,1.61,1.58
YES,10.1002/aenm.201901024,PTB7-Th,3TT-OCIC,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCCCC1=C(/C=C2\C(=O)C3=CC(Cl)=C(Cl)C=C3C2=C(C#N)C#N)SC2=C1SC1=C2C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C1SC1=C2SC2=C1C(C1=CC=C(CCCCCC)C=C1)(C1=CC=C(CCCCCC)C=C1)C1=C2SC2=C1SC(/C=C1\C(=O)C3=CC(Cl)=C(Cl)C=C3C1=C(C#N)C#N)=C2CCCCCCCC,0.68,26.49,0.69,12.43,-5.22,-3.91,1.31,1.29,-5.21,-3.6,1.61,1.58
YES,10.1002/adfm.202102361,PTB7-Th,BTPV-4F-eC9,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCCCCC1=C(/C=C/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)=C1CCCCCCCCC,0.661,28.2,0.685,12.77,-5.38,-4.06,1.32,,-5.21,-3.6,1.61,1.58
YES,10.1002/adma.201707508,PTB7-Th,NOBDT,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCCCOC1=C2SC3=C(C2=C(OCCCCCCCC)C2=C1C1=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC=C(F)C=C5C4=C(C#N)C#N)S2)C1(C1=CC=C(CCCCCC)C=C1)C1=CC=C(CCCCCC)C=C1)C(C1=CC=C(CCCCCC)C=C1)(C1=CC=C(CCCCCC)C=C1)C1=C3SC(/C=C2\C(=O)C3=CC=C(F)C=C3C2=C(C#N)C#N)=C1,0.77,19.16,0.7,10.26,-5.26,-3.89,1.37,1.39,-5.21,-3.6,1.61,1.58
YES,10.1002/aenm.201600742,PBDTS-DTBTO,ITIC,CCCCCCCCOC1=C(C2=CC=CS2)C2=NSN=C2C(C2=CC=C(C3=CC4=C(C5=CC=C(SCC(CC)CCCC)S5)C5=C(C=CS5)C(C5=CC=C(SCC(CC)CCCC)S5)=C4S3)S2)=C1OCCCCCCCC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,0.843,16.6,0.65,9.09,-5.49,-3.83,1.66,1.59,-5.24,-3.6,1.64,
YES,10.1002/adma.201807577,TTFQx-T1,Y5,CCCCC(CC)CC1=CC=C(C2=C3C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=CS6)C6=NC(C7=CC(F)=C(CC(CC)CCCC)S7)=C(C7=CC(F)=C(CC(CC)CCCC)S7)N=C56)S4)SC3=C(C3=CC=C(CC(CC)CCCC)S3)C3=C2SC=C3)S1,CCCCC(CC)CC1=C(/C=C2\C(=O)C3=CC=CC=C3C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=CC=CC=C3C2=C(C#N)C#N)=C1CC(CC)CCCC,0.89,21.2,0.696,13.1,-5.55,-3.87,1.68,1.4,-5.31,-3.62,1.69,1.69
YES,10.1002/adma.201501214,PBDTT-TT-F,P(NDI2OD-T2),CCCCC(CC)COC(=O)C1=C(F)C2=CSC(C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=CS5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)=C2S1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C(C)C=C4C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C(=C43)C(C3=CC=C(C4=CC=C(C)S4)S3)=C2)C1=O,0.79,11.92,0.56,5.28,-5.49,-4.05,1.44,1.44,-5.3,-3.6,1.7,
YES,10.1002/advs.202004262,BTR-Cl,BTP-FCl-FCl,CCCCCCC1=C(C2=CC(CCCCCC)=C(C3=CC=C(/C=C4\SC(=S)N(CC(CC)CCCC)C4=O)S3)S2)SC(C2=CC3=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C4=C(C=C(C5=CC(CCCCCC)=C(C6=CC(CCCCCC)=C(C7=CC=C(/C=C8/SC(=S)N(CCCCCC)C8=O)S7)S6)S5)S4)C(C4=CC(Cl)=C(CC(CC)CCCC)S4)=C3S2)=C1,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=CC(Cl)=C(F)C=C3C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=CC(Cl)=C(F)C=C3C2=C(C#N)C#N)=C1CCCCCCCCCCC,0.823,24.58,0.754,15.3,,,,,-5.46,-3.7,1.76,1.78
YES,10.1002/advs.202004262,BTR-Cl,BTP-2F-2Cl,CCCCCCC1=C(C2=CC(CCCCCC)=C(C3=CC=C(/C=C4\SC(=S)N(CC(CC)CCCC)C4=O)S3)S2)SC(C2=CC3=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C4=C(C=C(C5=CC(CCCCCC)=C(C6=CC(CCCCCC)=C(C7=CC=C(/C=C8/SC(=S)N(CCCCCC)C8=O)S7)S6)S5)S4)C(C4=CC(Cl)=C(CC(CC)CCCC)S4)=C3S2)=C1,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=CC(Cl)=C(Cl)C=C3C2=C(C#N)C#N)=C1CCCCCCCCCCC,0.823,22.35,0.714,13.1,,,,,-5.46,-3.7,1.76,1.78
YES,10.1002/ajoc.202000172,PTIBT,ITIC,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C\C2=CSC(C3=CC=C(C4=CC=CS4)S3)=C2)C2=CC=CC=C21,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,0.66,15.19,0.57,5.72,-5.49,-3.83,1.66,1.59,-5.41,-3.61,1.8,
YES,10.1002/aenm.201301007,PDTSBT,DTI,CCCCCCCCCCCC[Si]1(CCCCCCCCCCCC)C2=C(SC=C2)C2=C1C=C(C1=CC=CC3=NSN=C13)S2,CCCCCCCCC(CCCCCCCC)N1C(=O)C2=CC=C3C4=C2C(=CC=C4C2=C3C3=C(C4=CC=C5C(=O)N(C(CCCCCCCC)CCCCCCCC)C(=O)C6=C5C4=C3C=C6)C3=C2C2=CC=C4C(=O)N(C(CCCCCCCC)CCCCCCCC)C(=O)C5=CC=C3C2=C45)C1=O,0.725,5.7,0.32,1.32,-6.1,-3.9,2.2,,-5.3,-3.5,1.8,
YES,10.1002/aenm.201802021,DRCN5T,F-2Cl,CCCCCCCCC1=C(C2=CC(CCCCCCCC)=C(C3=CC=C(C4=C(CCCCCCCC)C=C(C5=C(CCCCCCCC)C=C(/C=C6\SC(=C(C#N)C#N)N(CC)C6=O)S5)S4)S3)S2)SC(/C=C2\SC(=C(C#N)C#N)N(CC)C2=O)=C1,CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C=C2C2=CC4=C(C=C21)C1=C(C=C(/C=C2\C(=O)C5=CC(Cl)=C(Cl)C=C5C2=C(C#N)C#N)S1)C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)C1=C3SC(/C=C2\C(=O)C3=CC(Cl)=C(Cl)C=C3C2=C(C#N)C#N)=C1,0.906,15.97,0.684,9.89,-5.63,-3.89,1.74,1.58,-5.22,-3.41,1.81,
YES,10.1002/aenm.201802021,DRCN5T,F-1Cl,CCCCCCCCC1=C(C2=CC(CCCCCCCC)=C(C3=CC=C(C4=C(CCCCCCCC)C=C(C5=C(CCCCCCCC)C=C(/C=C6\SC(=C(C#N)C#N)N(CC)C6=O)S5)S4)S3)S2)SC(/C=C2\SC(=C(C#N)C#N)N(CC)C2=O)=C1,CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C=C2C2=CC4=C(C=C21)C1=C(C=C(/C=C2\C(=O)C5=CC=C(Cl)C=C5C2=C(C#N)C#N)S1)C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)C1=C3SC(/C=C2\C(=O)C3=CC(Cl)=CC=C3C2=C(C#N)C#N)=C1,0.975,13.07,0.637,8.12,-5.46,-3.75,1.71,,-5.22,-3.41,1.81,
YES,10.1002/aenm.201802021,DRCN5T,F-0Cl,CCCCCCCCC1=C(C2=CC(CCCCCCCC)=C(C3=CC=C(C4=C(CCCCCCCC)C=C(C5=C(CCCCCCCC)C=C(/C=C6\SC(=C(C#N)C#N)N(CC)C6=O)S5)S4)S3)S2)SC(/C=C2\SC(=C(C#N)C#N)N(CC)C2=O)=C1,CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C=C2C2=CC4=C(C=C21)C1=C(C=C(/C=C2\C(=O)C5=CC=CC=C5C2=C(C#N)C#N)S1)C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)C1=C3SC(/C=C2\C(=O)C3=CC=CC=C3C2=C(C#N)C#N)=C1,1.09,9.64,0.523,5.49,-5.43,-3.71,1.72,,-5.22,-3.41,1.81,
YES,10.1002/aenm.202102648,TPD-3F,Y6,CCCCCCCCC(CCCCCC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)N(CCCCCCCC)C(=O)C6=C(C6=CC=CS6)S5)S4)SC3=C(C3=CC(F)=C(CC(CCCCCC)CCCCCCCC)S3)C3=C2SC=C3)S1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.87,21.07,0.622,11.4,-5.65,-4.09,1.56,1.36,-5.32,-3.5,1.82,
YES,10.1002/aenm.202102648,TPD-3,Y6,CCCCCCCCC(CCCCCC)CC1=CC=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)N(CCCCCCCC)C(=O)C6=C(C6=CC=CS6)S5)S4)SC3=C(C3=CC=C(CC(CCCCCC)CCCCCCCC)S3)C3=C2SC=C3)S1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.83,26.7,0.685,15.2,-5.65,-4.09,1.56,1.36,-5.14,-3.32,1.82,
YES,10.1002/aenm.202001589,H11,IDIC-4F,CCCCCCCCC(CCCCCC)CN1N=C2C(C3=CC=C(/C=C(/C#N)C(=O)OCC(CC)CCCC)S3)=C(F)C(F)=C(C3=CC=C(C4=CC5=C(C6=CC=C(CC(CC)CCCC)S6)C6=C(C=C(C7=CC=C(C8=C(F)C(F)=C(C9=CC=C(/C=C(\C#N)C(=O)OCC(CC)CCCC)S9)C9=NN(CC(CCCCCC)CCCCCCCC)N=C89)S7)S6)C(C6=CC=C(CC(CC)CCCC)S6)=C5S4)S3)C2=N1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5cc(F)c(F)cc5C3=C(C#N)C#N)sc2-4)cc1,0.842,18.2,0.682,10.4,,,,,-5.27,-3.45,1.82,
YES,10.1002/adma.201807577,PBDB-T,Y5,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCC(CC)CC1=C(/C=C2\C(=O)C3=CC=CC=C3C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=CC=CC=C3C2=C(C#N)C#N)=C1CC(CC)CCCC,0.88,22.8,0.702,14.1,-5.55,-3.87,1.68,1.4,-5.33,-3.48,1.85,1.84
YES,10.1002/adfm.202101742,PBDB-T,4T-3,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCC(CC)CC1=C(C2=C(CC(CC)CCCC)C=C(C3=CC(CC(CC)CCCC)=C(C4=C(CC(CC)CCCC)C=C(/C=C5\C(=O)C6=CC(F)=C(F)C=C6C5=C(C#N)C#N)S4)S3)S2)SC(/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)=C1,0.81,17.27,0.725,10.15,-5.86,-3.98,1.88,1.52,-5.33,-3.48,1.85,1.84
YES,10.1002/adma.201904215,PBDB-T,Y1-4F,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCC(CC)CN1N=C2C(=N1)C1=C(C3=C2C2=C(C4=C(C=C(/C=C5\C(=O)C6=CC(F)=C(F)C=C6C5=C(C#N)C#N)S4)S2)N3CC(CC)CCCC)N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)=C1,0.74,22.7,0.574,9.9,-5.56,-4.11,1.45,,-5.33,-3.48,1.85,1.84
YES,10.1002/aenm.201803541,PBDB-T,AT-NC,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCC(CC)COC1=CC=C(C2(C3=CC=C(OCC(CC)CCCC)C=C3)C3=C(SC(/C=C4\C(=O)C5=CC6=CC=CC=C6C=C5C4=C(C#N)C#N)=C3)C3=C2C2=CC4=CC=C5C6=C(C=C(/C=C7\C(=O)C8=CC9=CC=CC=C9C=C8C7=C(C#N)C#N)S6)C(C6=CC=C(OCC(CC)CCCC)C=C6)(C6=CC=C(OCC(CC)CCCC)C=C6)C5=C4C=C2C=C3)C=C1,0.919,17.11,0.694,10.91,-5.44,-3.8,1.64,1.62,-5.33,-3.48,1.85,1.84
YES,10.1002/aenm.201801203,PBDB-T,IXIC-2Cl,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC4=C3SC(/C=C3\C(=O)C5=CC=C(Cl)C=C5C3=C(C#N)C#N)=C4)C3=C2C2=C(S3)C3=C(S2)C2=C(C4=C(C=C(/C=C5\C(=O)C6=CC=C(Cl)C=C6C5=C(C#N)C#N)S4)S2)C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1,0.73,23.6,0.709,12.2,-5.2,-3.9,1.3,1.3,-5.33,-3.48,1.85,1.84
YES,10.1002/aenm.201801203,PBDB-T,IXIC,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC4=C3SC(/C=C3\C(=O)C5=CC=CC=C5C3=C(C#N)C#N)=C4)C3=C2C2=C(S3)C3=C(S2)C2=C(C4=C(C=C(/C=C5\C(=O)C6=CC=CC=C6C5=C(C#N)C#N)S4)S2)C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1,0.82,20.9,0.654,11.3,-5.13,-3.78,1.35,1.35,-5.33,-3.48,1.85,1.84
YES,10.1002/aenm.201903650,PBDB-T,IT-DOH,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=C(O)C=CC=C6C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(O)C=CC=C4C2=C(C#N)C#N)=C3)C=C1,0.87,18.04,0.7,10.4,-5.58,-3.93,1.65,1.53,-5.33,-3.48,1.85,1.84
YES,10.1002/aenm.201700183,PBDB-T,IT-OM-4,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=C(OC)C=CC=C6C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(OC)C=CC=C4C2=C(C#N)C#N)=C3)C=C1,0.96,14.69,0.56,7.9,-5.49,-3.81,1.68,1.63,-5.33,-3.48,1.85,1.84
YES,10.1002/aenm.201700183,PBDB-T,IT-OM-3,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=CC(OC)=CC=C6C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=CC(OC)=CC=C4C2=C(C#N)C#N)=C3)C=C1,0.97,16.38,0.68,10.8,-5.52,-3.8,1.72,1.64,-5.33,-3.48,1.85,1.84
YES,10.1002/aenm.201700183,PBDB-T,IT-OM-2,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=CC=C(OC)C=C6C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=CC=C(OC)C=C4C2=C(C#N)C#N)=C3)C=C1,0.93,17.53,0.73,11.9,-5.49,-3.86,1.63,1.59,-5.33,-3.48,1.85,1.84
